COSMIC_ID,14.3.3_beta,14.3.3_zeta,4E.BP1,4E.BP1_pS65,4E.BP1_pT37_T46,53BP1,ACC_pS79,ADAR1,Akt,Akt_pS473,Akt_pT308,Annexin_VII,Annexin.1,AR,ATM,B.Raf_pS445,Bad_pS112,Bax,Bcl.2,Bcl.xL,beta.Catenin,c.Jun_pS73,c.Kit,C.Raf_pS338,Caveolin.1,CD31,CD49b,Chk2,Claudin.7,Collagen_VI,Cyclin_B1,Cyclin_E1,DJ.1,Dvl3,E.Cadherin,eEF2K,EGFR,EGFR_pY1173,eIF4E,ETS.1,FASN,Fibronectin,FoxM1,G6PD,Gab2,GATA3,GSK3.alpha.beta,GSK3.alpha.beta_pS21_S9,HER2,HER3,Heregulin,IGFBP2,INPP4B,IRS1,JNK_pT183_Y185,Lck,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MIG.6,mTOR,Myosin.IIa.pS1943,N.Cadherin,N.Ras,NDRG1_pT346,Notch1,p27_pT198,p70S6K_pT389,PAI.1,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PI3K.p85,PKC.alpha,PKC.delta_pS664,PKC.pan_BetaII_pS660,PR,PRAS40_pT246,PREX1,PTEN,Rab25,Rad50,Raptor,Rb_pS807_S811,RBM15,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,SF2,Shc_pY317,Smad1,Smad3,Smad4,Src,Src_pY416_Caution,Src_pY527,STAT3_pY705_Caution,Syk,TAZ,TFRC,TIGAR,Transglutaminase,Tuberin,Tuberin_pT1462,VEGFR2,YB.1_pS102
683665,-0.248750962,-0.325888843,-0.041144743,-0.138127495,-0.130787715,0.129804996,0.143390942,0.462142615,0.293761747,-0.809579155,-0.25239917,-0.48093222,-1.783347162,-0.193115229,-0.330439704,0.676275229,0.087527916,0.471627577,0.843318437,-0.108950727,-2.73584605,-0.001933247,0.190971871,0.062172962,-2.714301538,-0.019560775,-0.673649424,0.406153308,0.145710633,-0.14833359,1.051895461,-0.103216904,-0.344087255,-0.125980456,-0.263203267,-0.214741174,-1.122255162,0.143380458,-0.011415824,0.790466335,-0.377985592,-0.797895173,0.438420441,-0.55606632,-0.657712312,1.750681722,-0.257410521,-0.918248678,-1.866858141,-0.725022264,-0.481434687,2.321245233,0.084028723,0.035684144,0.691413389,2.486199197,-0.373705129,-0.397008783,0.492169264,-0.248775433,-0.040624394,-0.257654398,-0.053227195,-0.187261306,0.2399741,1.674346548,0.009586818,0.166111874,-1.045761589,-0.06623638,-0.115803672,-0.546610941,-0.240856291,0.517930366,0.884613937,0.668413364,-0.390508695,0.010501107,0.504078118,-0.447171705,-0.597930119,-0.265403125,0.199323754,-0.381163763,0.982906556,2.127659535,-0.011943969,-0.992995835,-0.400709842,0.195153339,-0.489194766,0.053804249,0.593149222,0.055310045,-0.691916858,-0.042979004,-0.627474768,-0.232263285,-0.96642834,-0.535661072,1.493241519,-0.198249617,-0.877451755,0.290323819,0.481854171,-0.764949699,-0.267626541
684052,-0.217333838,-0.505226833,0.653001584,0.74330667,1.014864017,0.621596602,-0.220982751,-0.121504394,-0.156797005,0.168200347,0.009719935,0.03382603,0.109067237,-0.221197037,1.167387772,0.151389242,0.224690856,-0.170156031,1.408750696,0.052929758,-0.236832575,-0.167404771,1.869912824,-0.088223164,3.658160275,-0.071264592,-0.808831399,0.814706229,-0.629102323,-0.16675389,0.381922184,-1.117937465,-0.190523376,-0.255146515,-1.423295309,-0.050722812,-1.216959092,0.025175562,-0.039527641,-0.082802236,0.293851366,1.831246839,0.168314913,0.245083438,1.151142328,-0.084063321,-0.198754438,0.378127405,-1.030258111,-0.679211156,0.099736768,2.162451412,-0.211299013,0.391257973,0.132019959,0.102016528,0.112842262,-0.033170528,1.078020386,0.170199628,0.407374668,0.18303635,0.166237382,0.027469332,-0.681642879,0.008359056,-0.09979513,0.183734044,-0.606268703,0.143061491,-0.029363076,-0.053591589,0.546805206,0.330670837,0.179288473,0.521858751,0.662486935,-0.079185161,0.132743483,2.630191165,0.579811839,0.315261666,0.241239463,0.22415798,0.122166906,0.354635725,-0.176386388,0.477939362,0.429143368,0.08378718,-0.270375596,0.28680541,-0.078424274,0.427127748,-0.459298098,0.134604533,0.647543321,0.412341068,-0.177854287,0.016400847,0.142503411,-0.296554835,-0.389973749,0.241302887,0.36560227,-0.991057782,0.130653212
684055,-0.088502236,-0.430654664,1.172955323,0.474626328,1.219204834,1.295142867,0.156837956,1.309279239,-0.319223455,0.656454953,-0.093395311,-0.665505798,0.02724713,2.278656746,0.812696249,0.52721236,0.39489641,0.397897354,-0.077309714,0.069414555,-0.019008282,-0.125691744,1.388311767,-0.004514285,4.127245621,0.069871246,-0.573449153,0.848408242,-0.706692976,-0.968189017,0.118868371,-0.757314148,0.285229734,0.203049182,-1.645440157,0.355310938,-1.119024551,0.030431529,0.222278069,0.170903126,0.538346286,0.127405019,0.060779056,0.684406188,-0.773925909,-0.120816969,0.202094907,1.778479157,-0.703185097,-0.315398724,-0.054387561,1.891715452,-0.449166928,0.535482051,-0.194480188,-0.707878549,-0.302343662,-0.443124454,0.702559645,0.187068659,0.351335764,-0.457937817,0.329477265,-0.12313356,-1.163628631,-0.357134194,0.162072913,-0.202423935,-0.629929741,-0.198882097,-0.340143621,-0.458607617,1.237467979,-0.009189364,-0.452582601,0.091556643,0.918548365,-0.080321899,-0.08094327,0.723403431,-0.896349768,-0.736263551,0.437142025,0.574155997,-0.763726701,0.811600836,-0.090943978,-3.52567105,-2.524284257,0.420375435,0.32712483,0.14430969,0.325431793,0.280579768,-0.239868555,-0.587164472,1.171092366,0.131743251,-0.680001956,-0.254319127,-0.080503554,-0.087908366,0.051885367,0.431197985,0.704892811,-0.701165169,-0.247536757
684057,-0.103809703,-0.14260971,0.734877791,0.092442383,-0.308484096,1.394402437,0.433428461,0.254458699,-1.012326332,-0.938819393,-0.457134928,-0.776299003,-0.846244362,1.798553936,-0.433099584,0.745181172,0.745953609,0.179693084,-0.290744833,0.335103237,-1.376447881,-0.4804683,2.358264727,-0.001840753,4.357805021,-0.173580989,-0.224548557,0.417006096,-0.884374134,-0.178331773,0.635712205,-0.392308675,-0.21949155,0.480520524,-1.573828022,-0.45874502,-1.055518651,0.275862709,-0.050340764,0.695859761,-0.401604192,2.33513904,0.772411485,-0.665930322,-0.789607449,0.108509589,0.12494867,1.559934728,-0.234085006,-0.268258442,-0.070144616,1.901155507,-0.41024603,-0.087330839,-0.100003654,0.250835024,-0.360278653,0.04437939,0.607012704,0.099924888,0.206058497,-0.758948207,0.094444908,-0.228991759,-0.490333272,0.400243564,-0.135302819,0.828838505,-0.287563542,-0.180483682,-0.309960054,-0.341300042,0.180733031,0.266142089,1.38505039,-0.459457075,0.181080985,-0.046076076,-0.15607066,1.523863157,-0.785464884,-0.742881421,0.15368695,0.477409538,0.134028177,1.874109709,-0.030264949,-3.430488695,-2.498535535,0.109753725,0.142433757,-0.090311569,0.131545844,-0.235141919,-0.017253579,-0.117310815,0.306248363,0.22669426,-0.031968642,0.03356924,0.223874262,-0.057815965,0.034595463,0.828387678,0.83173055,-0.650018857,-0.121955021
684059,-0.015858449,-0.407210438,0.694525565,0.174934733,0.167685337,0.294215834,0.153108537,0.364513741,-1.025792053,1.159811239,0.630974061,-0.188605632,0.348574319,3.216527087,-0.326725861,1.043485962,0.933768365,-0.108317915,-0.507931121,-0.262195798,-1.323459298,-0.355387499,1.58508197,0.067527424,2.953284217,-0.044571146,-0.189470593,0.270022319,-0.939930696,0.212605015,0.765509746,-0.52880877,-0.1597143,0.210955156,-1.640434515,-0.667074711,-1.075562179,0.130358019,-0.318127445,0.106543424,-0.422428641,0.275171828,0.611607321,-0.106083641,-0.446994494,-0.402018334,-0.409502677,0.748800213,-1.146421679,-0.252189438,0.023867288,2.519075231,-0.358419123,0.323710948,0.311331612,-0.506578521,-0.02743011,-0.493495019,0.516826196,-0.249695308,-0.21903797,-0.284317094,0.063457851,0.014746235,-1.110770362,0.42045241,0.246741845,-0.200617122,-0.423703611,-0.050836082,-0.023924855,-0.484872329,0.44572528,-0.430629076,-0.268740652,0.089642373,0.971770181,-0.038651511,-0.063858541,1.473189555,-3.229569742,-0.754333092,-0.008518589,-0.12743497,-0.334262883,0.92346326,-0.06407984,-0.379698914,0.283905045,0.150143074,0.107696082,0.401013728,0.208921843,0.048083491,0.046085857,-0.461317882,-0.021401981,0.173071557,-1.33052731,0.232031225,-0.436971598,-0.002781396,-0.280224607,0.356474862,0.712382618,-0.724908731,0.028663329
684062,0.039703098,-0.325388781,-0.408998316,-0.539983331,-0.043759336,0.567673,-0.100552346,0.237422656,-0.20972073,-0.426145029,-0.724249757,-0.214698502,-0.889976532,0.349141084,0.50573209,0.076761509,-0.344112536,0.016714716,0.21599583,0.115358642,-1.71191291,-0.50069948,1.45958987,-0.126215701,4.806264073,0.023655581,-0.132806844,0.174624958,-0.799530481,-0.188521126,0.043974844,-0.285882501,0.502333789,-0.387001459,-1.521422831,-2.004814826,-1.105519903,-0.003358566,0.041133541,0.233484821,0.198952906,0.899895503,-1.474228674,-0.056027545,-1.943943872,-0.461002069,-0.103463733,-0.524104818,-0.852173478,-0.183883416,-0.245134084,2.061788909,-0.332600218,0.115991235,-0.151540242,-0.881327141,-0.924278929,-0.120979314,-0.447797518,-0.090388769,0.011775569,-1.209226265,0.468551595,-0.085524581,-1.063699758,-0.53449736,0.220685357,-0.61024735,-0.095180196,-0.520136506,-0.516145254,-0.142411715,0.812872988,0.05957409,0.069946367,0.432938902,-0.364982164,0.031393312,-0.462616915,1.540214422,-0.621692122,-0.721085566,0.493889441,0.006346421,-0.844961829,1.295604111,-0.262533694,-3.079546543,-1.727811098,0.382092954,0.331995488,0.012521967,-0.202317058,0.983070896,0.545303829,-0.218204886,0.097274542,-0.149927182,-1.188828231,-0.549278057,0.639551167,-0.228647477,-0.198959954,0.018857492,-0.148186333,-1.301698415,-0.14262665
684072,-0.104522509,-0.070821508,0.770780714,0.386131219,0.868596665,0.875827603,-0.468566585,0.226186908,-0.321754292,-0.050937751,-0.178395209,-0.660158055,-0.577420205,0.386255524,0.26351361,0.739954367,0.011264062,0.214948265,0.916555421,-0.208895484,-1.493898448,-0.427910182,2.694003655,0.075059203,3.534954731,0.040633491,-0.51336507,0.777095179,-1.873626623,0.12774244,0.649931373,-0.421023815,0.509160428,-0.035313648,-1.041997628,-0.208903253,-1.333639257,0.055015125,-0.008056728,-0.171727092,0.336724836,-0.407813078,0.006749322,0.201568922,-0.914933056,0.080902063,0.154848042,-0.068725649,-1.007685327,-0.569018842,0.293508562,1.391952501,-0.261435998,-0.106102654,0.277747969,-0.373107091,-0.45908391,-0.451531031,0.223065052,0.020175985,0.440850507,-1.144785086,0.030680889,0.120160457,-0.558353248,-0.078404319,-0.182307882,-0.132492203,-0.598647312,-0.202982108,-0.43073071,-0.453975613,0.106204873,-0.137010347,-0.044105475,0.381463735,0.394645637,-0.032276318,0.100413814,1.375244574,-0.059434217,-0.125871821,0.301787924,0.402002952,-0.116719408,0.729125146,-0.136675909,-1.903453263,-1.916404985,0.387293844,-0.108748035,0.432366103,0.047553449,0.346416229,0.052381896,-0.121616233,0.265368543,0.965645374,-1.572368374,-0.277172397,-0.360114196,-0.192159096,-0.565001202,0.569991808,0.337373088,-1.099068481,-0.209279349
684681,0.080291666,0.562878318,-0.031156645,-0.373621471,-0.487363706,-1.291252816,0.68344947,0.821131999,-0.389176652,0.027533723,-0.594610678,-0.005856961,-1.456736669,0.066650055,-1.980224437,-0.580503096,-0.382883169,0.052065353,-0.624421258,0.623394479,0.918409113,-0.548045663,1.117290577,-0.211441702,-2.549230802,-0.188035327,0.557589714,-0.2023643,4.443533542,0.627072888,-0.982763767,0.681097872,0.315383789,-0.518011295,3.173965558,0.779200251,-0.366254294,0.112152883,0.156137822,0.384899967,1.551950144,-0.248027125,-0.711149901,0.193969536,1.432992494,0.05270305,0.068103787,-0.151307323,0.901361094,-0.093490852,-0.228520477,1.812616301,-0.142392589,-0.424202333,0.234394119,0.550762327,0.929772427,0.97370035,0.626188543,0.063807044,0.346185885,-0.67391981,0.059455066,-0.007020431,-0.381882031,-0.482281808,-0.259850265,-0.003225939,-1.092905082,0.25432016,0.7103809,-0.101862528,0.723110144,-0.136098017,-0.154639115,-0.269636103,-0.280588846,-0.238693546,-0.041056502,-0.290331841,0.214448714,-0.26750605,-0.225080524,0.040512956,-1.27158125,-0.756488239,0.006342709,0.630600671,0.320351109,0.217262818,0.490862269,-0.061713165,0.044259252,-0.145696404,-0.891124004,0.31323142,-0.204607534,0.892484365,0.523789534,0.185977611,1.033620045,1.237507514,-0.126351817,-0.551438033,-0.304737753,-2.433527282,-0.023351009
687448,0.079925973,0.730826708,0.719082507,0.471093958,0.874881482,-0.357767848,0.202019496,0.266866275,1.393337116,0.902871918,0.297779612,-0.593658254,-0.230726872,0.143656523,0.520094368,0.837816109,-0.009293593,0.663010607,0.094459281,-0.057087779,-0.454688849,-0.459713061,-0.057357268,-0.147794554,-2.186147297,-0.129899433,-0.020311141,0.013628232,0.044914888,0.257502684,-0.998916874,0.729907502,-0.246987595,-0.01472756,-0.842959388,0.322117534,-1.170118353,-0.169180027,-0.055712567,0.094648528,0.436703502,1.545104161,-0.482270021,0.325040148,0.783326294,-0.187010324,0.182942195,0.242262193,0.645591961,1.142580007,-0.192028157,0.960651346,0.198544343,-0.133367188,-0.275107374,-0.22645012,1.335856878,-0.450458398,1.536410514,-0.159162592,0.05495026,-0.204842968,0.452415316,-0.207321891,2.611305031,0.195706314,-0.152476961,-0.198780238,0.017141243,-0.101546499,-0.121717186,0.516656344,0.440099626,0.154524808,0.398074663,0.534106954,0.698498471,-0.057334029,0.054818653,0.61363748,-2.868661627,-0.473065414,-0.288011187,0.163209755,-0.623569553,-0.670688092,0.104083745,-0.998288308,-0.768314016,-0.048879584,-0.124249535,0.089073825,-0.266668376,-0.069870943,0.030671333,-0.220377448,-0.293690819,-0.090493095,-1.849146307,0.650109136,-0.221754378,0.404955784,0.251536466,-0.015928838,0.273654071,-0.259959782,0.087817031
687452,0.09832,-0.47237,-0.124265,0.005014,-0.280498,0.662198,-0.232152,0.758721,-1.068396,-1.320371,-0.868157,0.027163,0.412024,-0.039732,-0.839699,-1.085224,-0.054696,-0.620774,0.461495,0.256087,-0.29077,0.937056,-0.15536,0.314337,2.661655,0.316871,2.141736,-0.934866,2.07036,0.045397,-0.10745,-0.126388,-0.849798,-0.653812,3.451152,-1.027198,1.096574,0.077488,-0.421017,0.684904,-0.93147,2.553111,0.229737,-0.226281,-0.550096,1.445383,-0.321503,-1.102701,0.68659,0.199782,0.551844,-0.672278,0.352078,-0.057647,0.142708,0.269479,-1.080919,-0.610508,-0.710265,0.388164,-0.73715,-2.680031,0.692294,0.265233,-0.100091,0.308661,0.43611,-0.172946,1.356334,-0.321034,-1.034639,-0.442579,0.079589,-0.819784,-0.202163,0.013906,-1.500115,0.456689,0.248252,0.031489,-1.271843,0.39461,0.008919,-0.523642,-1.368618,0.395183,-0.185453,-2.802085,-2.789958,0.094574,0.279218,-0.113587,0.388507,0.098544,0.826137,-0.163365,-0.098686,0.148331,1.389014,0.091747,-0.264675,-0.351519,0.820388,-0.850578,-0.214886,0.614684,0.01159
